epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,6970.05,0.31622,0.61198,1.12186,0.94218,0.90866,0.95434,0.88231,0.43382,0.45331,0.92044,0.00041425,0.00041425,0.00041425
73,7289.19,0.30729,0.62497,1.1228,0.93464,0.88224,0.95411,0.88639,0.40609,0.45957,0.90513,0.000406,0.000406,0.000406
74,7596.4,0.30957,0.58488,1.14313,0.90408,0.91963,0.94565,0.86393,0.45211,0.44358,0.9318,0.00039775,0.00039775,0.00039775
75,7899.17,0.30835,0.57612,1.14517,0.95244,0.90459,0.95713,0.87696,0.45006,0.4588,0.93681,0.0003895,0.0003895,0.0003895
76,8257.93,0.31782,0.60709,1.11931,0.93897,0.91474,0.95825,0.88698,0.42951,0.42399,0.93051,0.00038125,0.00038125,0.00038125
77,8726.71,0.31233,0.60208,1.13995,0.95062,0.91667,0.95776,0.88922,0.42607,0.41573,0.91479,0.000373,0.000373,0.000373
78,9190.25,0.30414,0.59265,1.13639,0.9525,0.91041,0.95946,0.89629,0.4067,0.40982,0.89688,0.00036475,0.00036475,0.00036475
79,9658.06,0.30856,0.58039,1.12325,0.94193,0.91193,0.95547,0.88565,0.42157,0.44951,0.92278,0.0003565,0.0003565,0.0003565
80,10120.7,0.30251,0.5748,1.11034,0.93782,0.89328,0.95213,0.88471,0.44798,0.46364,0.93676,0.00034825,0.00034825,0.00034825
81,10583.3,0.30478,0.59583,1.1219,0.94365,0.90848,0.95696,0.89462,0.39304,0.40531,0.87139,0.00034,0.00034,0.00034
82,11042.1,0.28335,0.55818,1.10378,0.95143,0.88952,0.94834,0.88595,0.39539,0.41098,0.88274,0.00033175,0.00033175,0.00033175
83,11491.8,0.30287,0.55833,1.11839,0.95664,0.88785,0.95036,0.88705,0.39049,0.43461,0.87991,0.0003235,0.0003235,0.0003235
84,11944.3,0.29932,0.53716,1.12034,0.94571,0.91741,0.95333,0.89226,0.38209,0.44049,0.89195,0.00031525,0.00031525,0.00031525
85,12401.9,0.29867,0.53171,1.12389,0.96581,0.8835,0.95126,0.89271,0.37406,0.42916,0.87188,0.000307,0.000307,0.000307
86,12839.1,0.31253,0.55331,1.13763,0.95148,0.90015,0.95356,0.88399,0.44743,0.45155,0.91072,0.00029875,0.00029875,0.00029875
87,13285,0.29474,0.55747,1.12929,0.95198,0.91266,0.95617,0.89337,0.38746,0.41896,0.87528,0.0002905,0.0002905,0.0002905
88,13742.9,0.29636,0.51679,1.09782,0.94664,0.91881,0.95422,0.89079,0.40575,0.4336,0.90056,0.00028225,0.00028225,0.00028225
89,14199.8,0.29872,0.53469,1.11926,0.93529,0.91516,0.95077,0.88462,0.38297,0.42644,0.86862,0.000274,0.000274,0.000274
90,14663.1,0.28533,0.5146,1.09403,0.95961,0.89964,0.95015,0.88348,0.40784,0.45064,0.89475,0.00026575,0.00026575,0.00026575
91,15121.1,0.31053,0.52537,1.11901,0.95609,0.90515,0.95317,0.88566,0.41692,0.42489,0.90264,0.0002575,0.0002575,0.0002575
92,15579.3,0.29441,0.51452,1.1124,0.95963,0.91408,0.95929,0.88715,0.43142,0.45133,0.91748,0.00024925,0.00024925,0.00024925
93,16034.3,0.28322,0.50667,1.10079,0.94017,0.91752,0.95363,0.88703,0.41766,0.42927,0.89802,0.000241,0.000241,0.000241
94,16494.2,0.29433,0.51902,1.12788,0.93989,0.92378,0.9567,0.89332,0.40065,0.39821,0.88416,0.00023275,0.00023275,0.00023275
95,16953.5,0.2782,0.49688,1.09503,0.96061,0.91152,0.96164,0.90221,0.38559,0.395,0.86497,0.0002245,0.0002245,0.0002245
96,17406.9,0.27217,0.47421,1.09083,0.94631,0.92894,0.95895,0.89584,0.3988,0.38736,0.88069,0.00021625,0.00021625,0.00021625
97,17768.8,0.28346,0.51061,1.10148,0.95418,0.90624,0.95796,0.89108,0.41168,0.41397,0.88721,0.000208,0.000208,0.000208
98,18073.8,0.28823,0.48746,1.1208,0.95088,0.90213,0.95788,0.89289,0.42866,0.43209,0.91577,0.00019975,0.00019975,0.00019975
99,18437.1,0.26915,0.4673,1.08118,0.95365,0.91537,0.95627,0.89186,0.40119,0.42424,0.90201,0.0001915,0.0001915,0.0001915
100,18836.9,0.2912,0.49565,1.42111,0.94659,0.91301,0.9557,0.89323,0.39775,0.40227,0.89597,0.00018325,0.00018325,0.00018325
101,348.641,0.26489,0.4424,1.13924,0.96702,0.92351,0.96124,0.89721,nan,nan,nan,0.000175,0.000175,0.000175
102,727.102,0.29166,0.40853,1.32616,0.96027,0.92442,0.96456,0.90038,nan,nan,nan,0.00016675,0.00016675,0.00016675
